Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
JARDINES DE GUADALUPE,517,42,7,41,"81.410,44","1,883","1,696",468,23,107,327,"1,223",21,92,1
JARDINES DE LA ALAMEDA,10,2,0,0,"2.225.218,67",132,142,92,1,2,37,70,4,21,1
JARDINES DE LA BARRANCA,27,18,3,9,"140.551,86",852,849,498,0,46,160,456,5,201,2
JARDINES DE LA CAÃ‘ADA,1,1,0,0,"140.551,86",852,849,498,0,46,160,456,5,201,2
JARDINES DE LA CALERA,181,9,6,10,"1.070.402,87",0,0,0,0,0,0,0,0,0,0
JARDINES DE LA CRUZ,1287,82,6,65,"258.122,44","9,337","8,397","3,173",36,"1,055","1,771","6,615",143,"1,261",6
JARDINES DE LA CRUZ ORIENTE,32,13,3,5,"70.262,58",952,"1,003",675,2,100,213,582,29,223,2
JARDINES DE LA ESPERANZA,12,2,1,5,"77.344,59",676,620,312,0,101,167,397,11,126,0
JARDINES DE LA EXHACIENDA,8,4,2,4,"385.287,31",0,0,0,0,0,0,0,0,0,0
JARDINES DE LA PATRIA,127,7,3,4,"11.434,90",796,779,273,11,45,211,515,7,40,0
JARDINES DE LA PAZ,1106,65,8,66,"1.011.270,55",358,336,197,0,25,65,198,1,91,0
JARDINES DE LA PRIMAVERA,5,0,0,1,"1.870.468,25",255,234,234,0,13,49,107,1,79,0
JARDINES DE LA REINA,55,25,1,22,"80.874,94","2,118","2,052","1,487",6,80,600,"1,288",32,386,2
JARDINES DE LA SEATTLE,60,4,0,9,"15.115,75",221,219,103,0,35,45,135,2,25,0
JARDINES DE LAS FUENTES,16,4,1,5,"2.413.650,84",382,398,262,4,12,86,210,8,26,0
JARDINES DE LOS ARCOS,281,8,5,8,"99.928,18","1,129",994,235,5,49,173,610,17,162,2
JARDINES DE LOS BELENES,59,24,3,17,"724.317,21","2,025","2,032","1,188",11,232,419,"1,178",28,515,4
JARDINES DE LOS HISTORIADORES,460,33,10,30,"1.814.336,63","3,878","3,481","1,728",25,165,917,"2,571",28,501,5
JARDINES DE LOS POETAS,75,18,1,14,"265.393,79","1,609","1,411",869,5,64,347,884,9,338,1
JARDINES DE NUEVO MEXICO,221,93,27,62,"233.275,51","7,759","7,312","5,04",321,716,"1,545","3,898",126,"1,703",16
JARDINES DE SAN FRANCISCO,484,52,7,72,"584.289,30","5,828","5,506","3,402",49,631,"1,129","3,301",65,"1,52",9
JARDINES DE SAN GONZALO,0,1,1,0,"344.510,16",30,22,36,6,1,10,9,1,4,1
JARDINES DE SAN IGNACIO,509,4,3,9,"353.754,49","1,361","1,228",338,14,93,264,766,12,134,4
JARDINES DE SAN JOSE,408,36,4,19,"236.851,34","4,233","3,865","1,839",27,318,816,"2,277",54,736,3
JARDINES DE SAN MARTIN,31,13,3,13,"480.024,08",785,808,595,198,63,182,361,9,176,3
JARDINES DE SAN RAFAEL,1,0,0,1,"248.256,01",563,524,417,0,26,128,228,2,59,0
JARDINES DE SAN SEBASTIAN,22,1,2,4,"78.741,56",956,930,530,25,97,156,449,21,275,1
JARDINES DE SANTA ANA,10,5,2,4,"348.681,39",452,446,295,202,24,97,216,17,91,1
JARDINES DE SANTA ANITA,8,2,1,2,"258.141,40",149,144,49,0,6,45,106,4,4,0
JARDINES DE SANTA ISABEL,325,31,16,32,"1.623.011,05","3,938","3,728","2,032",21,223,829,"2,081",40,572,5
JARDINES DE SANTA MARIA,248,40,7,39,"156.289,67","2,772","2,815","1,829",39,150,616,"1,311",33,688,4
JARDINES DE TABACHINES,13,8,0,4,"58.694,36",383,358,162,10,30,107,225,4,23,0
JARDINES DE TLAJOMULCO,12,0,1,2,"25.822,93",0,0,0,0,0,0,0,0,0,0
JARDINES DE TONALA,20,8,0,8,"442.546,00",530,482,338,18,23,120,262,3,108,0
JARDINES DE VERANO,52,12,2,12,"40.822,57","1,133","1,081",760,0,33,262,649,6,244,3
JARDINES DEL AUDITORIO,96,23,5,10,"432.431,61","2,157","1,933","1,033",11,208,512,"1,081",44,352,2
JARDINES DEL BOSQUE,1277,23,7,48,"1.242.418,30","3,203","2,843",875,44,276,560,"1,956",49,380,10
JARDINES DEL CAMICHIN 125,2,1,1,1,"675.811,95",104,86,43,0,3,31,72,1,3,0
JARDINES DEL CASTILLO,20,20,2,14,"532.441,67",781,764,652,20,55,179,431,9,281,1
JARDINES DEL CASTILLO LAS CASUARINAS,3,1,1,1,"193.015,21",372,350,268,0,26,77,203,7,133,2
JARDINES DEL COUNTRY,616,24,9,34,"390.094,75","3,85","3,221","1,069",17,287,701,"2,655",40,344,4
JARDINES DEL EDEN,14,12,1,6,"78.277,14","1,127","1,113",844,1,79,272,604,15,179,4
JARDINES DEL IXTEPETE,16,4,1,6,"1.435.534,56",875,815,550,10,23,160,413,8,199,1
JARDINES DEL ORGANO,0,1,0,0,"1.546.215,17",170,207,135,6,14,42,72,4,45,3
JARDINES DEL PARAISO,22,2,0,6,"27.296,96","1,337","1,251",811,8,143,237,635,8,199,6
JARDINES DEL PORVERNIR,5,6,2,3,"828.559,63",463,417,248,0,20,93,277,14,78,1
JARDINES DEL PRADO,22,2,1,5,"365.808,06",757,815,691,0,17,162,429,4,111,2
JARDINES DEL ROSARIO,205,21,2,31,"29.243,68",156,162,86,8,8,41,71,2,31,1
JARDINES DEL SAUZ,199,16,4,24,"50.677,78","1,501","1,401",745,1,74,434,870,18,70,0
JARDINES DEL SOL,296,7,2,4,"498.717,59","1,943","1,745",533,21,116,269,"1,133",15,109,2
JARDINES DEL SUR,413,21,1,25,"213.731,03","3,791","3,319","1,44",24,225,628,"1,824",37,849,3
JARDINES DEL TAPATIO,19,8,0,8,"1.683.892,31",725,667,495,48,91,164,354,11,153,1
JARDINES DEL VALLE,604,91,11,65,"308.213,19","9,745","9,187","4,917",229,491,"2,53","4,995",142,"1,666",5
JARDINES DEL VERDE,22,7,0,10,"654.224,51",723,784,549,105,42,182,343,22,181,16
JARDINES DEL VERDE EJIDAL,20,2,2,5,"105.424,96",184,217,125,0,1,26,107,3,69,1
JARDINES DEL VERGEL,270,45,13,25,"262.180,27","4,946","4,838","3,051",55,273,"1,317","2,591",72,577,8
JARDINES DEL VIGIA,33,4,2,7,"853.551,57",426,379,266,1,23,85,257,14,94,3
JARDINES DEL ZAPOTE,9,2,1,3,"321.183,90",361,360,286,4,87,81,231,8,50,5
JARDINES EL SANTO,1,1,1,0,"68.712,64",122,119,74,8,3,11,43,0,34,0
JARDINES PLAZA DEL SOL,127,0,0,1,"504.539,17",404,346,84,4,21,55,173,3,45,0
JARDINES SEATTLE,8,1,0,1,"64.303,74",444,423,198,0,31,89,211,2,107,0
JARDINES TAPATIOS,22,11,3,7,"631.088,94","1,005",968,732,83,47,176,509,4,258,0
JARDINES TEPEYAC,163,3,0,5,"168.345,09",321,272,85,0,8,63,160,1,14,0
JARDINES UNIVERSIDAD,386,7,3,16,"180.653,84","1,459","1,356",331,3,83,444,948,20,108,1
JARDINES VALLARTA,396,8,2,22,"75.692,69",355,361,98,3,7,104,283,3,20,0
JAUJA,228,41,12,49,"50.206,92","3,219","3,333","2,688",71,365,719,"1,563",63,901,28
JAZMIN,2,0,1,4,"397.214,52",159,161,119,6,7,34,54,4,42,2
JAZMINEZ DEL VERDE,2,0,0,0,"548.568,07",24,22,12,0,6,1,12,1,10,0
JERICO,3,1,0,3,"168.985,23",358,374,302,28,45,109,225,13,81,10
JESUS MARIA,2,0,0,1,"403.356,28",108,104,47,0,5,24,76,4,21,0
JOCOTAN,67,18,9,18,"395.110,39","1,768","1,726","1,127",223,111,333,742,11,336,2
JOSE CLEMENTE OROZCO,80,11,4,13,"67.052,35",968,876,377,0,138,195,637,32,247,1
JOSE VASCONCELOS,12,5,1,5,"137.350,51",0,0,0,0,0,0,0,0,0,0
JOYAS DEL NILO,23,0,0,0,"32.849,63",261,268,173,12,14,88,170,4,9,3
JUAN DE LA BARRERA,86,30,13,24,"435.407,15","1,365","1,467","1,057",28,88,293,733,13,360,5
JUAN GIL PRECIADO,23,13,2,4,"131.353,20",738,753,477,43,52,199,390,9,142,0
JUAN MANUEL,152,5,0,4,"1.324.436,00",749,673,215,44,27,112,430,15,45,0
JUAN MANUEL VALLARTA,128,7,0,11,"317.247,48","1,278","1,189",407,0,73,226,683,11,86,0
JUANACATLAN CENTRO,40,19,2,20,"433.290,17","1,432","1,385",887,13,207,269,931,19,222,9
JUANACAXTLE,7,2,0,2,"164.692,70",0,0,0,0,0,0,0,0,0,0
LA ALAMEDA,127,15,7,18,"1.879.504,33","2,158","2,024","1,542",68,177,440,"1,228",49,514,14
LA ALBERCA,2,0,0,0,"1.304.573,52",111,111,59,10,14,22,48,5,45,2
LA ALCANTARILLA,26,13,3,7,"377.113,10",300,331,291,23,56,78,183,6,70,6
LA ALHAMBRA,0,0,1,0,"237.311,05",473,465,328,10,22,112,278,2,25,0
LA ARBOLEDA,4,3,0,2,"552.147,18","1,302","1,329","1,057",10,47,291,622,14,122,3
LA ARENA,7,4,3,3,"6.455,40",352,375,256,17,25,67,196,10,97,1
LA ASUNCION,24,4,1,11,"242.797,70",604,545,284,2,76,113,320,7,128,2
LA AURORA,604,12,4,34,"408.800,73",329,298,265,14,31,113,156,18,53,10
LA AZUCENA,122,60,9,60,"199.398,29","1,186","1,141",969,7,78,279,647,18,281,0
LA CAÃ‘ADA,12,1,0,1,"129.697,75",0,0,0,0,0,0,0,0,0,0
LA CALERA,50,10,4,5,"452.246,37",0,0,0,0,0,0,0,0,0,0
LA CALERILLA,71,4,0,14,"7.622,97","1,329","1,34",883,7,79,247,557,21,82,5
LA CALMA,990,33,8,41,"316.515,03",223,224,183,28,19,85,143,8,48,7
LA CAMPESINA,92,11,2,16,"176.791,67","1,197","1,096",766,17,214,205,703,40,304,5
LA CANTERA,13,6,1,6,"495.432,32",249,256,176,0,9,53,109,1,11,0
LA CAPACHA,128,22,7,30,"49.729,34",0,0,0,0,0,0,0,0,0,0
LA CAPILLA,152,14,7,26,"200.954,02","1,242","1,259",877,12,106,274,843,18,196,12
LA CARIDAD,4,0,0,0,"570.526,98",105,90,84,2,3,17,45,1,12,1
LA CASITA,60,17,6,12,"2.245.006,95","1,038",968,607,70,101,226,578,15,174,1
LA CASTELLANA,2,4,0,3,"25.741,92",0,0,0,0,0,0,0,0,0,0
LA CASTILLA,11,3,0,1,"293.723,88",257,220,91,0,1,65,156,3,11,0
LA CEJA,10,8,3,4,"75.676,52",237,273,211,1,35,34,100,4,34,1
LA CIBELA,1,0,0,0,"48.145,19",90,75,52,4,3,14,38,1,0,0
LA CIMA,204,11,2,14,"580.085,92","2,528","2,438","1,44",4,77,776,"1,633",23,40,1
LA COFRADIA,68,29,6,34,"1.246.868,70","1,423","1,405","1,219",100,107,329,745,23,382,13
LA COLADERA,5,2,0,12,"629.482,86",584,562,469,1,97,106,256,9,131,1
LA CONCHA,23,5,0,3,"19.200,69",101,101,46,0,2,23,53,4,25,0
LA CONCHA JARDIN RESIDENCIAL,5,5,2,1,"742.974,20",628,582,422,38,56,124,255,9,208,0
LA CORONILLA,42,44,8,28,"742.974,20",628,582,422,38,56,124,255,9,208,0
LA COYOTERA,2,0,0,0,"604.201,26",87,88,60,0,8,20,48,7,31,2
LA CRUZ,196,7,1,9,"145.612,67","1,401","1,288",520,0,160,243,974,20,165,0
LA CUCHARA,27,0,0,0,"345.755,78",110,114,73,0,12,18,47,1,24,0
LA CUSPIDE,7,1,0,1,"93.931,38",649,621,565,60,60,113,313,3,150,2
LA DURAZNERA,569,30,11,59,"106.049,23","2,439","2,44","1,744",82,367,506,"1,298",34,567,11
LA ESCONDIDA,1,0,0,0,"329.399,68",16,16,15,1,0,1,11,0,1,0
LA ESPERANZA,28,6,0,11,"63.388,57",0,0,0,0,0,0,0,0,0,0
LA ESPERANZA (LA FEDERACHA),527,85,17,105,"746.409,92","7,648","7,317","4,387",28,836,"1,534","4,492",112,"1,874",11
LA ESTANCIA,570,22,4,20,"110.471,14","3,709","3,432",949,41,266,679,"2,428",66,291,0
LA ESTANCIA (CARTOLANDIA),1,0,1,3,"136.274,88",164,162,122,1,6,49,85,2,26,1
LA EXPERIENCIA,46,8,2,15,"85.905,02",556,536,222,1,86,99,386,20,169,4
LA FLORESTA,47,1,1,0,"511.223,65",396,387,244,1,6,90,181,2,20,2
LA FLORESTA DEL COLLI,29,21,6,16,"2.556.123,13","1,216","1,219",927,192,74,252,528,15,269,2
LA FLORIDA,38,20,3,17,"1.764.085,25","1,26","1,238",923,119,56,266,599,9,248,1
LA FORTUNA,89,59,13,38,"426.570,70","2,733","2,701","2,476",190,256,558,"1,28",41,"1,185",16
LA GIGANTERA,229,13,2,38,"359.248,68",0,0,0,0,0,0,0,0,0,0
LA GIRALDA,194,4,0,6,"456.673,61",987,891,283,20,41,171,540,16,93,1
LA GLORIA DEL COLLI,107,15,0,16,"219.216,85",493,499,303,16,14,137,229,7,108,6
LA GRANJA,14,4,2,3,"593.950,58",760,740,612,52,26,155,344,5,78,2
LA GUADALUPANA,1003,122,20,125,"246.268,68","1,848","1,876","1,258",41,224,409,995,33,436,1
LA HACIENDITA,36,15,1,11,"233.482,00",259,266,198,1,27,53,168,2,40,2
LA HIGUERA,86,51,6,50,"65.466,06","1,564","1,649","1,282",128,153,307,716,14,375,7
LA HORTALIZA,50,4,2,7,"137.705,40",466,457,329,1,35,107,237,7,101,1
LA HUERTA,33,8,1,4,"377.619,45",75,70,31,0,1,10,38,1,9,0
LA HUIZACHERA,88,16,3,18,"358.893,98","1,35","1,285","1,036",91,192,236,580,14,280,2
LA JOYA,56,15,3,12,"75.388,50",313,312,279,1,15,78,175,3,52,2
LA JOYITA,9,7,0,4,"513.423,31",159,147,110,15,10,32,72,3,32,0
LA JUNTA DE LOS OCOTES,3,2,0,2,"176.802,64",452,476,303,15,37,77,251,1,129,2
LA LADRILLERA,340,25,8,29,"1.488.643,82",778,748,520,10,37,151,395,11,204,2
LA LAJA,118,13,10,19,"428.408,12",114,106,104,2,15,24,70,3,19,2
LA LLAVE,247,6,1,20,"900.285,70",961,"1,027",682,16,80,297,536,18,125,4
LA LOMA,335,55,8,36,"33.770,03",93,85,81,2,13,26,50,2,18,2
LA LOMA ALTA,1,1,0,0,"1.007.060,94",198,198,179,105,6,39,55,3,39,1
LA MAGDALENA,67,25,8,18,"701.928,75","2,011","2,016","1,506",77,190,453,994,38,378,7
LA MARTINICA,104,28,7,32,"49.661,50","1,871","1,912","1,226",1,166,405,"1,04",31,402,1
LA MESA COLORADA PONIENTE,112,70,19,82,"412.545,00","7,593","7,704","4,186",120,444,"1,26","2,972",143,"1,409",36
LA MESA DE LA CORONILLA,3,0,0,1,"117.799,05",58,58,27,0,0,16,46,1,0,0
LA MESA INFONAVIT,11,13,1,6,"31.758,93",627,622,368,0,57,117,350,17,111,2
LA MESA RESIDENCIAL,2,0,0,0,"1.053.964,34",69,72,52,0,1,17,46,0,9,0
LA MESITA,0,1,0,0,"1.143.632,58",259,269,185,1,25,61,137,2,47,3
LA MEZQUITERA,52,10,4,17,"549.073,68",0,0,0,0,0,0,0,0,0,0
LA MICAILITA,177,10,0,16,"226.598,97",619,615,433,15,62,143,275,5,130,2
LA MORA,62,12,2,8,"581.831,91",0,0,0,0,0,0,0,0,0,0
LA MORALEJA,3,1,0,1,"679.667,21",0,0,0,0,0,0,0,0,0,0
LA NOGALERA,355,28,2,49,"41.589,34","1,765","1,704",875,4,212,308,958,42,409,5
LA NORIA,56,16,5,11,"69.854,44",596,552,374,4,25,153,345,8,26,1
LA NORMAL,54,1,1,5,"401.216,81",250,205,81,31,12,62,146,3,67,0
LA NUEVA VICTORIA,9,7,2,2,"347.202,72",255,239,220,16,4,44,83,1,92,0
LA PALMITA,130,13,7,23,"33.907,82","1,545","1,476",990,7,132,330,833,7,327,1
LA PATRIA UNIVERSIDAD,38,1,3,1,"100.454,84",466,380,97,1,51,138,268,8,48,3
LA PAZ,403,13,5,30,"1.113.801,46","1,863","1,698",883,4,226,382,"1,077",25,416,3
LA PEDRERA,77,11,1,23,"312.348,17","1,433","1,58","1,239",68,140,387,756,48,312,29
LA PENAL,867,91,15,117,"1.298.920,45","6,734","6,273","3,367",21,725,"1,371","3,688",99,"1,909",12
LA PERIQUERA,50,11,5,11,"550.036,41","1,352","1,337","1,007",47,99,304,673,16,276,4
LA PERLA,743,50,9,89,"2.056.146,18",560,579,546,14,19,98,280,15,182,2
LA PIEDRERA,7,0,0,3,"204.598,13",9,14,3,0,1,2,10,0,8,0
LA PILA,25,8,0,7,"46.519,10",0,0,0,0,0,0,0,0,0,0
LA PLANCHA,1,0,0,3,"1.820.392,41",98,108,87,1,4,28,64,3,29,2
LA PLAYA,27,10,1,6,"94.859,55","1,036","1,01",661,12,93,207,715,22,210,3
LA PRADA,5,2,0,1,"291.038,83",442,471,407,42,46,100,183,11,192,5
LA PRIMAVERA,64,17,6,17,"291.038,83",442,471,407,42,46,100,183,11,192,5
LA PROVIDENCIA,170,45,11,46,"635.564,45","1,282","1,233","1,174",71,114,253,571,31,428,10
LA PUNTA,119,15,7,19,"69.959,94",673,703,538,12,101,148,377,11,161,5
LA PURISIMA,96,23,6,26,"1.792.977,43","1,189","1,193","1,154",49,47,240,566,26,352,1
LA QUINTA CATALINA,30,3,1,5,"140.232,35",311,326,227,0,51,57,178,1,55,0
LA RIOJA,83,5,0,4,"1.592.430,48",746,729,408,0,16,180,452,5,3,0
LA ROCA,4,2,0,1,"186.868,82",226,246,188,7,21,60,132,2,97,1
LA RUA,8,0,1,1,"149.324,69",0,0,0,0,0,0,0,0,0,0
LA SAUCEDA,6,0,0,0,"381.640,05",25,25,22,0,1,1,7,1,1,0
LA SILLITA,18,5,0,2,"585.215,55",895,847,597,1,18,163,454,0,202,16
LA SOLEDAD,317,27,6,28,"128.239,34","1,556","1,473",649,5,168,366,993,31,187,1
LA STRAVAGANZA,1,1,0,0,"265.132,09",258,216,129,8,8,59,122,7,12,0
LA TEJA,5,1,0,0,"21.624,25",0,0,0,0,0,0,0,0,0,0
LA TIJERA,431,9,6,17,"234.366,83",289,273,205,29,21,70,140,7,61,0
LA TOSCANA,38,2,0,3,"123.581,77",263,269,141,0,2,59,146,1,2,0
LA TUZANIA,399,100,16,72,"202.574,89","8,006","7,199","3,752",148,926,"1,362","5,093",194,"2,226",6
LA VENTA DEL ASTILLERO,250,13,3,27,"235.156,20","2,716","2,751","1,611",26,175,613,"1,442",36,646,15
LA VICTORIA,4,1,1,0,"1.092.909,17",194,201,176,7,23,45,86,2,55,1
LA VINATERIA,1,1,0,2,"1.036.346,40",0,0,0,0,0,0,0,0,0,0
LADRILLERA,4,0,0,1,"629.458,25",413,402,441,0,38,91,161,4,92,1
LADRON DE GUEVARA,2179,46,22,70,"192.589,09","5,679","4,81","1,41",104,638,904,"3,011",67,"1,042",15
LAGO NOGAL,13,0,0,0,"1.117.797,71",0,0,0,0,0,0,0,0,0,0
LAGO REAL,0,0,0,1,"288.143,33",208,195,151,3,18,41,84,0,13,0
LAGOS DE ORIENTE,676,133,13,107,"1.277.676,10","11,375","10,864","6,627",142,"1,408","2,344","7,008",160,"2,753",34
LAGOS DEL COUNTRY,641,34,8,32,"117.417,89","1,581","1,511",364,3,83,257,982,24,251,4
LAGUNAS,77,13,3,12,"171.995,33","1,415","1,504",946,40,173,279,679,14,345,5
LARGUERO,6,1,0,3,"216.938,65",193,175,114,1,34,38,122,3,48,1
LARIOS,12,5,3,1,"77.833,40",693,689,505,3,63,183,443,4,128,1
LAS AGUILAS,725,40,8,39,"274.747,03",121,116,79,6,11,34,55,2,29,2
LAS AGUILILLAS,13,6,5,7,"375.579,14","1,327","1,313","1,042",20,173,307,714,26,268,11
LAS AGUJAS,27,14,4,10,"709.993,51","1,73","1,68","1,319",18,135,406,935,2,360,0
LAS ALAMEDAS,52,5,0,2,"31.050,57","1,006",891,330,26,53,260,588,11,31,0
LAS ARBOLEDAS,932,34,4,31,"1.493.482,16","4,238","3,749","1,162",45,271,669,"2,34",62,494,4
LAS BOVEDAS,60,18,7,19,"1.008.678,56","1,858","1,841","1,157",139,231,365,"1,024",57,425,3
LAS CARRETAS,6,6,1,1,"744.112,36",0,0,0,0,0,0,0,0,0,0
LAS CHIVAS,4,3,0,0,"206.463,16",376,349,310,10,29,75,169,5,110,3
LAS CONCHAS,557,37,11,78,"194.795,07","1,404","1,308",749,42,177,254,787,11,390,16
LAS CUMBRES,80,5,1,5,"146.014,96",210,209,104,1,2,87,199,1,1,1
LAS FLORES,75,25,7,13,"945.705,77",793,792,609,84,55,196,290,13,233,5
LAS FUENTES,261,6,1,8,"2.037.691,85","1,504","1,358",621,9,113,273,967,18,138,1
LAS GABRIELAS,3,1,1,0,"96.641,27",0,0,0,0,0,0,0,0,0,0
LAS GALEANAS,4,3,0,1,"22.014,90",115,108,93,1,5,23,44,1,25,2
LAS GAMBOAS,10,6,2,5,"622.716,48",310,310,270,17,26,62,151,5,88,1
LAS GRANJAS,21,2,0,2,"53.270,79",88,100,64,1,8,37,60,1,2,1
LAS GRULLAS,5,0,0,0,"94.167,64",499,507,299,0,19,67,206,4,9,0
LAS HUERTAS,900,137,37,151,"1.720.416,01","9,284","9,155","5,941",77,618,"1,728","4,841",145,"2,156",16
LAS JUNTAS,592,112,35,183,"127.961,05","6,101","5,824","3,848",75,469,"1,142","3,091",71,"1,585",15
LAS LIEBRES,266,80,15,62,"4.043.205,22","4,724","4,751","3,416",94,586,"1,004","2,473",76,"1,146",14
LAS LILAS,45,24,1,24,"450.590,43","2,025","1,973","1,718",53,156,447,756,107,708,11
LAS LILAS II,6,6,0,3,"97.548,27","2,495","2,378","2,102",77,150,594,"1,125",68,949,6
LAS LOMAS,5,0,0,0,"226.370,41",0,0,0,0,0,0,0,0,0,0
LAS LOMAS GOLF  HABITAT,11,1,0,3,"226.370,41",0,0,0,0,0,0,0,0,0,0
LAS LUCES,90,18,0,16,"1.576.540,01","2,402","2,355","2,165",61,195,533,"1,308",29,527,0
LAS PALMAS,69,16,2,26,"306.734,34",0,0,0,0,0,0,0,0,0,0
LAS PALOMAS,30,3,1,5,"214.335,80",70,48,37,17,7,26,43,3,14,3
LAS PEÃ‘ITAS,1,0,0,0,"214.335,80",70,48,37,17,7,26,43,3,14,3
LAS POMAS,71,2,0,25,"326.297,75",126,170,124,45,16,28,46,1,23,2
LAS PUERTAS,27,3,1,11,"243.233,28",414,414,366,10,34,85,218,4,103,4
LAS TERRAZAS,25,14,0,3,"508.146,90","2,826","2,949","1,484",16,68,378,878,24,84,5
LAS TORRES,309,14,3,22,"325.903,85",576,589,411,53,43,125,317,3,133,1
LAS TROJES,19,8,2,8,"419.670,50","1,671","1,665","1,428",40,55,332,755,12,597,8
LAS VEGAS,14,4,3,1,"1.041.568,21",308,278,206,1,43,54,180,4,57,0
LAS VILLAS,69,13,2,12,"730.584,23",234,264,115,14,13,56,139,6,8,1
LAURELES,74,19,2,14,"683.253,65",212,229,187,6,13,48,134,6,29,0
LAZARO CARDENAS,519,82,17,81,"639.525,01","1,438","1,359",644,2,122,323,"1,025",10,181,3
LAZARO CARDENAS (BARRANQUITAS),13,6,1,6,"282.175,49",299,307,236,0,11,61,162,4,47,0
LAZARO CARDENAS DEL RIO,11,7,1,7,"87.184,90",255,262,218,0,8,53,110,3,58,3
LE PARC,6,3,0,0,"596.681,89",457,414,251,23,7,91,146,1,43,1
LEYES DE REFORMA,54,3,2,4,"190.554,78",161,156,107,9,9,34,88,2,26,0
LIBERTAD,426,60,13,42,"590.093,23","5,231","4,887","2,84",77,606,"1,082","3,05",91,"1,342",8
LINDAVISTA,263,28,4,31,"312.622,63","2,246","1,987","1,126",16,263,404,"1,27",34,558,4
LINDAVISTA COUNTRY,5,0,0,5,"6.485,81",135,137,128,1,19,40,71,4,36,3
LOMA BLANCA,29,0,0,0,"1.273.720,15",341,348,155,6,17,37,122,7,10,2
LOMA BONITA,672,75,13,82,"27.863,89",484,508,409,19,40,103,266,12,113,4
LOMA BONITA EJIDAL,518,81,12,72,"576.983,93","3,356","3,14","1,771",17,335,580,"1,806",65,580,5
LOMA BONITA I,174,49,4,36,"153.667,51","2,089","1,93","1,22",15,184,352,"1,35",18,567,9
LOMA BONITA SUR,86,3,0,7,"1.709.771,14",804,755,215,12,53,177,514,22,72,0
LOMA CHICA,11,4,2,3,"459.485,96","1,05","1,121",865,67,100,269,495,14,240,4
LOMA DE LOS PAJAROS,4,1,0,1,"44.786,71",507,483,293,11,34,144,302,6,44,0
LOMA DEL ZALATE (AHUATAN),57,13,2,14,"114.526,69","1,181","1,186",886,22,115,252,655,18,240,2
LOMA DORADA,61,5,1,6,"73.913,37",605,574,329,2,79,140,342,12,109,4
LOMA DORADA (EJIDAL),177,14,2,24,"143.386,08",879,858,528,0,112,164,461,25,270,3
LOMA DORADA DELEGACION A,750,50,9,61,"296.690,91","4,722","4,271","2,381",31,405,972,"2,892",52,802,5
LOMA DORADA DELEGACION B,431,69,15,61,"356.624,52","5,496","5,068","3,188",54,559,"1,024","2,966",90,"1,492",6
LOMA DORADA DELEGACION C,465,52,7,55,"2.509.523,71","5,759","5,437","3,459",53,503,"1,183","2,736",86,"1,886",9
LOMA DORADA DELEGACION D,143,34,7,23,"290.660,50","3,804","3,584","2,162",27,293,883,"1,938",65,999,1
LOMA EL PEDREGAL,6,4,0,5,"122.960,98",234,232,156,0,18,49,130,9,69,2
LOMA LINDA,58,36,5,21,"199.146,78","2,651","2,562","1,809",71,260,414,"1,447",80,618,3
LOMA REAL,17,1,1,0,"193.940,21",0,0,0,0,0,0,0,0,0,0
LOMA VERDE,25,10,0,17,"55.439,29",780,707,545,12,135,149,399,12,230,3
LOMAS ALTAS,97,5,1,5,"51.286,02","1,227","1,105",311,11,37,212,574,5,68,0
LOMAS DE ATEMAJAC,216,8,3,13,"282.799,60","2,081","1,808",641,12,180,434,"1,215",32,274,0
LOMAS DE GUADALUPE,61,2,1,1,"126.895,35",495,466,156,6,11,111,319,5,14,1
LOMAS DE GUEVARA,267,5,2,12,"36.385,98","1,163",983,227,35,63,252,743,26,87,4
LOMAS DE HUISQUILCO,26,3,1,6,"71.723,24",598,587,422,2,31,148,310,8,45,3
LOMAS DE INDEPENDENCIA,222,30,6,29,"267.908,61","3,99","3,703","1,82",31,261,858,"1,965",38,572,4
LOMAS DE IXTLAHUACAN,0,1,1,0,"40.204,83",123,152,105,0,16,27,86,0,33,0
LOMAS DE LA PRIMAVERA,102,84,31,58,"867.680,22","7,564","7,716","5,772","1,086",578,"1,628","3,498",88,"1,898",42
LOMAS DE LA SOLEDAD,304,33,5,30,"54.700,64",0,0,0,0,0,0,0,0,0,0
LOMAS DE LA VICTORIA,195,4,2,7,"128.537,57",21,22,8,0,0,4,11,1,1,0
LOMAS DE OBLATOS,97,22,6,15,"21.038,99","2,593","2,53","1,776",1,172,506,"1,546",22,557,4
LOMAS DE POLANCO,987,143,27,149,"528.309,39","11,165","10,446","5,982",127,"1,482","2,139","6,628",224,"2,819",11
LOMAS DE PROVIDENCIA,150,6,0,5,"28.764,31",506,453,127,4,21,91,303,6,22,0
LOMAS DE RIO VERDE,113,34,7,36,"319.355,00","3,599","3,478","2,159",23,282,668,"1,884",52,830,4
LOMAS DE SAN AGUSTIN,216,72,9,51,"779.858,70","5,905","5,694","3,964",137,429,"1,488","2,924",107,"1,695",12
LOMAS DE SAN DIEGO,18,1,1,1,"1.093.878,42",0,0,0,0,0,0,0,0,0,0
